,Questions,Correct,A,B,C,D,Category
594,"What was the favorite weapon of Harada Sanosuke, the 10th unit captain of the Shinsengumi?
",Spear,Kozuka Blade,Spear,Sword,Shuriken,geography
595,"This river flows through the southern part of England and passes through the capital of the country.
",The Thames,The Avon,All of these,The Thames,The Mersey,geography
596,"What river is considered the longest river on the planet?
",The Nile,The Nile,The Tigris,The Mississippi,The Amazon,geography
597,"What is the name of the holy river of the Hindu people?
",The Ganges,The Ganges,The Euphrates,The Indus,The Tigris,geography
598,"What river flows through the central part of the French capital, Paris?
",Seine,Seine,Loire,Charente,Rhine,geography
599,"What is the name of the longest river in Asia, and the third-longest in the world?
",The Yangtze,The Yangtze,The Mekong-Lancang,The Tigris,The Huang He,geography
600,"This river is the longest in the United States, and it gave its name to one of the states.
",The Missouri River,The Missouri River,The Mississippi River,The Alabama River,The Ohio River,geography
601,"What is the largest river on the planet by volume?
",The Amazon,The Mississippi,The Amazon,The Nile,The Ganges,geography
602,"What is the name of the river in which Jesus Christ was baptized by John the Baptist?
",The Jordan,The Tigris,The Jordan,The Euphrates,The Nile,geography
603,"This North American river is also called Kaniatarowanenneh, which means big waterway in Mohawk.
",Saint Lawrence River,Saint Lawrence River,Rio Grande,Colorado,Ohio River,geography
604,"This European river originates in Germany and empties in the Black Sea via a delta.
",The Danube,The Volga,The Danube,The Rhine,All of these,geography
605,"There is a city in Oklahoma called Moon.
",True,True,False,,,geography
606,"Oklahoma has no cities and communities named after Presidents.
",False,True,False,,,geography
607,"In what Oklahoma city was the shopping cart invented?
",Ardmore,Ardmore,Guthrie,Duncan,Broken Arrow,geography
608,"How many of the astronauts who have flown in space between 1959 and 2009 were from Oklahoma?
",6,6,20,0,3,geography
609,"There is a town in Oklahoma called IXL.
",True,True,False,,,geography
610,"A windspeed of 100 feet above the ground was observed in 1999 in what Oklahoma city?
",Moore,Lawton,Norman,Moore,Midwest City,geography
611,"Will Rogers World Airport and the Wiley Post Airport were named after people who died in 1935. How did they meet their demise?
",in a plane crash,in a plane crash,by murder,in a car crash,as a result of a boat accident,geography
612,"Carl Albert High School was named after Carl Bert Albert, who was the Speaker of the House of Representatives from 1971 to 1977. What small Oklahoma town did he hail from?
",Bugtussle,Enid,Bushyhead,Slaughterville,Bugtussle,geography
613,"Oklahoma has more man-made lakes than any other state.
",True,True,False,,,geography
614,"Which of the following is NOT an Oklahoma city?
",Toledo,Peoria,Burbank,St. Louis,Toledo,geography
615,"Boise City, Oklahoma was the only city within the continental United States to be bombed during World War II.
",True,False,True,,,geography
616,"The national motto of the Republic of Botswana is Pula. What does this mean in English?
",Rain,Rain,Strength,Wisdom,Sunshine,geography
617,"The national motto of what country is A Mari Usque Ad Mare, meaning From Sea to Sea in Latin?
",Canada,Jamaica,Spain,Canada,Haiti,geography
618,"What does the national motto of India, Satyameva Jayate, mean in Sanskrit?
",Truth Alone Triumphs,The Supreme Treasure of Truth,Truth Alone Triumphs,Truth Is The Best Way,Truth Is Divine,geography
619,"The national motto of what country is Peace at Home, Peace in the World?
",Turkey,Afghanistan,Somalia,Nigeria,Turkey,geography
620,"The national motto of this South American country is Libertad o muerte, Spanish for Liberty or Death.
",Uruguay,Peru,Uruguay,Argentina,Brazil,geography
621,"The national motto of the Republic of the Fiji Islands is Rerevaka na Kalou ka Doka na Tui. What does this mean?
",Fear God and honor the Queen,Fear God and honor the Queen,God bless our beautiful motherland,"We kneel before you, blessed land",Hard work comes before prosperity,geography
622,"The slogan Sub Umbra Floreo, or Under the Shade I Flourish is the national motto of what Central American country?
",Belize,Costa Rica,Belize,Guatemala,Nicaragua,geography
623,"The national motto of what island country is Ever Conscious of God We Aspire, Build and Advance as One People?
",Grenada,Grenada,New Zealand,Papua New Guinea,Micronesia,geography
624,"The national motto of this Arabic country is God is the greatest.
",Iraq,Morocco,Iran,Syria,Iraq,geography
625,"What is the meaning of the national motto of the Republic of Indonesia, Bhinneka Tunggal Ika?
",Unity in Diversity,Unity in Diversity,Past Present Future,Progress and Stability,We Are Strong Together,geography
626,"In what country is the Angel Falls, the highest waterfall on the planet, located?
",Venezuela,Brazil,Argentina,Colombia,Venezuela,geography
627,"Which of these is a section of the famous Niagara Falls?
",Horseshoe Falls,Horseback Falls,Horseshoe Falls,Horsetail Falls,Horseman Falls,geography
628,"In what U.S. state is the famous Bridalveil Fall located?
",California,California,Florida,Colorado,Hawaii,geography
629,"What is the name of the tallest waterfall made by humans, which is located in Umbria, Italy?
",Cascata delle Marmore,Cascata delle Marmore,Cascata del Maria,Cascata del Mare,Cascata delle Maccheroni,geography
630,"Jog Falls is the highest plunge waterfall in this Asian country.
",India,India,Japan,China,Thailand,geography
631,"What is the name of the second-tallest waterfall on the planet?
",Tugela Falls,Temola Falls,Tugela Falls,Tierra Falls,Tamilla Falls,geography
632,"In what European country are the Rhine Falls located?
",Switzerland,Germany,Switzerland,Austria,Belgium,geography
633,"In what U.S. state is the tallest waterfall in the country, Waihilau Falls, located?
",Hawaii,Idaho,Wyoming,Hawaii,Iowa,geography
634,"In what country is Jurong Falls, the tallest artificial waterfall in the world, located?
",Singapore,Indonesia,Singapore,Vietnam,North Korea,geography
635,"What is the name of the tallest waterfall in eastern North America?
",Pissing Mare Falls,Pissing Mare Falls,Pissing Horse Falls,Pissing Elephant Falls,Pissing Buffalo Falls,geography
636,"What is the old name of the country of Madagascar?
",Malagasy Republic,Rhodesia,Mozambique,Malaysia,Malagasy Republic,geography
637,"Where is Madagascar?
",Off the Southeast Coast of Africa,Off the Southeast Coast of South America,Off the Southeast Coast of South America,Off the Southwest Coast of Africa,Off the Southeast Coast of Africa,geography
638,"What are the 2 main languages spoken in Madagascar?
",French and Malagasy,Italian and French,French and English,English and Malagasy,French and Malagasy,geography
639,"Madagascar is the worlds largest producer and exporter of what product?
",Vanilla,Sugarcane,Vanilla,Tapioca,Rice,geography
640,"Of the 10,000 plants native to Madagascar, what percent are found nowhere else in the world?
",90%,49%,13%,90%,72%,geography
641,"On what island is the country of Madagascar located?
",Madagascar Island,Madagascar Island,Nias Island,Simeulue Island,Christmas Island,geography
642,"Which of the following is NOT located in the country of Madagascar?
",Bodrum,Nosy-Be,Antananarivo,Antsirabe,Bodrum,geography
643,"I am a primate endemic to Madagascar. I have large, reflective eyes. I have a long tail. I have long toes, and opposable thumbs, useful for grasping tree branches. What am I?
",A lemur,An iguana,An ape,A monkey,A lemur,geography
644,"What Portuguese explorer was the first to sight the island of Madagascar?
",Diego Dias,Henry the Navigator,Diego Dias,Diogo Cao,Vasco da Gama,geography
645,"The first people to settle Madagascar came from Africa.
",False,True,False,,,geography
646,"Where is New Guinea ranked in terms of size, among the islands of the world?
",New Guinea is the second largest island in the world.,New Guinea is the third largest island in the world.,New Guinea is the fourth largest island in the world.,New Guinea is the second largest island in the world.,New Guinea is the largest island in the world.,geography
647,"New Guinea is an island north of Australia. It is divided into 2 roughly equal halves. What are they?
",The western portion is part of Indonesia. The eastern portion is the country called Papua New Guinea.,The western portion is part of Australia. The eastern portion is the country called Sumatra.,The western portion is part of Indonesia. The eastern portion is the country called Papua New Guinea.,The western portion is part of Indonesia. The eastern portion is the country called Sumatra.,The western portion is part of Australia. The eastern portion is the country called Papua New Guinea.,geography
648,"New Guinea is the most linguistically diverse area in the world. Approximately how many separate languages are spoken there?
",1000,80,20,650,1000,geography
649,"The island of New Guinea was named after the country of Guinea. Which is Guinea located?
",Africa,Africa,In the Pacific Ocean,South America,Asia,geography
650,"The country of Papua New Guinea gained its independence from this country in 1975.
",Australia,Mozambique,Australia,Indonesia,New Zealand,geography
651,"The west half of the island of New Guinea is part of Indonesia, which comprises how many islands?
","17,508",4,"8,407","17,508","247,542",geography
652,"Approximately what percentage of the population of the country of Papua New Guinea lives in rural areas?
",86%,50%,34%,97%,86%,geography
653,"In the country of Papua New Guinea, how many children does the average woman give birth to during her lifetime according to 2006 estimates?
",4.6,1.2,2.8,4.6,3.9,geography
654,"What is the capital city of the country of Papua New Guinea?
",Port Moresby,Port Moresby,Madang,Wau,Lae,geography
655,"The islands of the Pacific are collectively termed Oceania. Oceania is divided into several sub-groupings. In which of these is New Guinea located?
",Melanesia,Polynesia,None of these,Melanesia,Micronesia,geography
656,"What is the literal translation of the title of the national anthem of Egypt, Bilady, Bilady, Bilady?
","My country, my country, my country","Amazing, amazing, amazing","Sing, sing, sing","My country, my country, my country","Blessed, blessed, blessed",geography
657,"What sea borders Egypt to the east?
",Red Sea,Black Sea,Yellow Sea,Mediterranean Sea,Red Sea,geography
658,"Why was Egypt called Kemet, or black land, back in the ancient times?
",Because of the black soils,Because of the coal,Because of the black soils,Because of the petrol,All of these,geography
659,"What is the official language spoken in Egypt?
",Arabic,Arabic and French,Arabic,"Arabic, English and French",Arabic and English,geography
660,"What Egyptian city is the largest city not only in Africa, but also in the whole Middle East?
",Cairo,Cairo,Alexandria,Giza,Ismailia,geography
661,"What animal is depicted on Egypts national emblem, which is featured on the national flag of Egypt, adopted in 1984?
",Eagle,Bear,Jackal,Eagle,Lion,geography
662,"Where was Omar Sharif, one of the most famous Egyptian actors, born?
","Alexandria, Egypt","Paris, France","New York City, USA","Hamburg, Germany","Alexandria, Egypt",geography
663,"What sport is rated as the most popular sport among Egyptians?
",Football (soccer),Football (soccer),Baseball,Handball,Tennis,geography
664,"The Egyptian territory is calculated to be roughly twice as large as the territory of this European country.
",Spain,Poland,Spain,France,United Kingdom,geography
665,"What expression is commonly used in Egypt to refer to the annual flooding of the river Nile, the longest river in the world?
",The Gift of the Nile,Feeding of the Soil,The Gift of the Nile,The Blessing of the Nile,The Mother of Abundance,geography
666,"Luxembourg is bordered by all of the following nations except this one.
",Netherlands,Belgium,France,Germany,Netherlands,geography
667,"What languages are spoken in Luxembourg?
",All of these,All of these,German,French,Luxembourgish,geography
668,"Luxembourg was not involved in any 20th century war.
",False,True,False,,,geography
669,"Which of the following organizations is Luxembourg a member of?
",All of these,OECD,United Nations,European Union,All of these,geography
670,"Luxembourg has a population of approximately how many people?
",one half million,"30,000",one half million,two million,three and one half million,geography
671,"Why is Luxembourg City one of the wealthiest cities in the world?
",It is a banking and administrative center.,It is the European center of computer and computer related companies.,There is great mineral wealth in the area around the city.,It is a banking and administrative center.,Rich retired people have ranked it as the most desirable place in Europe to live.,geography
672,"What is the official name of Luxembourg?
",Grand Duchy of Luxembourg,The Peoples Republic of Luxembourg,Grand Duchy of Luxembourg,The Luxembourg Democratic Republic,The Kingdom of Luxembourg,geography
673,"How does Luxembourg, which is a member of NATO, contribute to NATO?
",by maintaining a small army,by maintaining the sixth largest NATO air force,by maintaining a small army,by allowing extensive US and British military installations on its territory,by financially supporting a navy even though is has no coastline,geography
674,"What is the predominant religion in Luxembourg?
",Roman Catholic,Islam,Orthodox Catholic,Protestant,Roman Catholic,geography
675,"The flag of Luxembourg consists of three vertical stripes of red, blue, green.
",False,True,False,,,geography
676,"In what country is Virginia Falls located?
",Canada,United States,Austarlia,Wales,Canada,geography
677,"What is the name of the tallest waterfall in Asia?
",Hannoki Falls,Midagahara Falls,Hannoki Falls,Shomyo Falls,Toyama Falls,geography
678,"The Eas a Chual Aluinn is the highest waterfall in this country.
",Great Britain,France,China,Sri Lanka,Great Britain,geography
679,"What is the English name of the Mosi-oa-Tunya waterfall located between Zambia and Zimbabwe?
",Victoria Falls,Virginia Falls,Veronica Falls,Valeria Falls,Victoria Falls,geography
680,"In what country is Yumbilla Falls, the fifth-tallest waterfall on the planet, located?
",Peru,Chile,Peru,Thailand,Australia,geography
681,"Where is the third-tallest waterfall on the planet, Ramnefjellsfossen, located?
",Norway,Norway,Finland,Switzerland,Denmark,geography
682,"What does the name of the Iguazu Falls, located in South America, mean in English?
",Big water,Way to heaven,River storm,Devils waterfall,Big water,geography
683,"In what country is Gocta Waterfall located?
",Peru,Venezuela,Peru,Spain,Nicaragua,geography
684,"What is the name of the highest waterfall in North America?
",James Bruce Falls,Richard Brown Falls,Johnathan Stevens Falls,James Bruce Falls,John Cliff Falls,geography
685,"In which U.S. state is the Multnomah Falls located?
",Oregon,Ohio,Oregon,Maine,Missouri,geography
686,"What is the name of the largest volcano on Earth in terms of area?
",Mauna Loa,Mauna Loa,Taal Volcano,Mauna Kea,Mount Etna,geography
687,"In what Asian country is the Mount Unzen volcanic group located?
",Japan,Vietnam,Japan,China,Thailand,geography
688,"The area around what Italian volcano is the most densely populated volcanic region in the world, making the volcano one of the most dangerous on the planet?
",Mount Vesuvius,Mount Vesuvius,Mount Etna,None of these,Stromboli,geography
689,"This Andean stratovolcano in Colombia erupted in 1993, killing 9 people.
",Galeras,Galeras,Pasto,Nina,Paloma,geography
690,"The Santorini volcanic islands are part of what European country?
",Greece,Denmark,Spain,Italy,Greece,geography
691,"This Russian volcano, located on the Kamchatka Peninsula, is one of the most active volcanoes on the planet.
",Avachinsky,Elbrus,Anik Mountain,Sikhote-Alin,Avachinsky,geography
692,"What is the name of the dangerous active volcano located in the Western Highlands of Guatemala?
",Santa Maria,Santa Lucia,Santa Fernanda,Santa Beatrice,Santa Maria,geography
693,"On which of the Philippine islands is the active Taal Volcano located?
",Luzon,Mindanao,Visayas,Luzon,None of these,geography
694,"On which of the Canary Islands is the Mount Teide volcano located?
",Tenerife,Gran Canaria,Fuerteventura,La Palma,Tenerife,geography
695,"This countrys national holidays include:
","Independence Day, 10 December (date of independence from Spain, 1898) ","20 May (independence from US administration, 1902)",Rebellion Day 26 July (1953),Cuba,Chile,geography
696,"None of these  could be found in Europe before the Great Geographical Discoveries:
","tatoes, chocolate, cocoa, quinine, tobacco, cabbage, cane-sugar, furs, whale oil, indigo, tea, coffee, porcelain, and cotton silks .",False,True,False,,geography
697,"What is the highest point in the state of Illinois?
",Charles Mound,Lincoln Mound,Devils Mound,Charles Mound,Mount Vernon,geography
698,"Makawao is the capital of the State of Hawaii.
",False,True,False,,,geography
699,"Who is the 16th president of the United States?
",Abraham Lincoln,Abraham Lincoln,Andrew Johnson,James Polk,Ulysses P. Grant,geography
700,"The city of Saint Louis, nicknamed Gateway to the West, is located in which state?
",Missouri,Missouri,Nebraska,Mississippi,Ohio,geography
701,"Malcolm X, the founder of the Organization of Afro-American Unity,  was born in what US city?
",Omaha,Kansas City,Omaha,Saint Louis,Belleville,geography
702,"President George W. Bush was inaugurated on January 20, 2000.
",False,False,True,,,geography
703,"What is the capital of Illinois, the 21st US State?
",Springfield,Chicago,Lincoln,Springfield,Omaha,geography
704,"This city, located in Colorado, is the highest city in the United States.
",Leadville,Vail,Leadville,Colorado Springs,Denver,geography
705,"Amelia Earhart, the first woman to fly solo across the Atlantic, was born in what city and state?
","Atchison, Kansas","Omaha, Nebraska","Louisville, Kentucky","New York City, New York","Atchison, Kansas",geography
706,"Arrange the following oceans by their total area, starting with the largest:
",The Atlantic Ocean,The Pacific Ocean,The Indian Ocean,The Arctic Ocean,The Southern Ocean,geography
707,"Finish the lyrics of the official state song of California, I Love You, California written by F. B. Silverwood:
",ere the snow crowned Golden Sierras,"ep their watch oer the valleys bloom,"," is there I would be in our land by the sea,",ery breeze bearing rich perfume., is here nature gives of her rarest ,geography
708,"In geography, the term desert is used to refer to a region that receives little or no precipitation. Approximately one-third of Earths land surface is desert, with the largest such region being which of these?
",Antarctica,Sahara,Antarctica,Kalahari,Greenland,geography
709,"The Kalahari Desert, meaning great thirst translated from the local language, is a vast area of red-brown sands, taking up a considerable area of which of these regions?
",South Africa,Central Asia,South Africa,The Middle East,Southwest Asia,geography
710,"This African desert, famous for its enormous sand dunes, is considered the oldest desert in the world, having endured its current arid conditions for at least 80 million years.
",Namib Desert,Libyan Desert,Kalahari Desert,Namib Desert,Kara Kum Desert,geography
711,"Rangipo Desert in the central part of New Zealands North Island, does not have its barren and lifeless appearance because of the lack of rain, but rather, due to which of these?
",Soil structure,Intense use of pesticides,Constant powerful winds,Soil structure,Frequent destructive storms,geography
712,"The Atacama Desert of Chile and Peru is one of the driest and most lifeless places on Earth. This virtually rainless plateau is made up of sand, lava flows, and what other substance?
",Salt,Limestone,Salt,Clay,Ash,geography
713,"This Australian desert of nearly 600,000 square kilometres is famous for its spectacular land and rock formations, such as Uluru and Kata Tjuta, its estimated 1,100 parallel dunes running north-south, and the fresh water lake, Rainbow Valley.
",Simpson Desert,Tanami Desert,Simpson Desert,Great Victoria Desert,Great Sandy Desert,geography
714,"The largest natural karst crater on Earth - Ramon Crater, with a length of 40 km (25 miles) and width of 2 to 10 km (1.5 to 6 miles), is situated in the heart of this Middle East desert.
",Negev desert,Kyzyl Kum,Negev desert,Judean Desert,Mojave desert,geography
715,"Leonardo of Pisa or Leonardo Pisano, also known as Fibonacci, was an Italian mathematician and is best known for the discovery of the Fibonacci numbers, which form the following sequence. 
"," 1, 1, 2, 3, 5, ...", you know what the next number is?,8,10,15,geography
716,"Which one of these countries is largest in area?
",Japan,Japan,Jordan and Japan are equal in size,Jordan,Jamaica,geography
717,"Which of the following oceans is the worlds largest?
",Pacific Ocean,Indian Ocean,Arctic Ocean,Atlantic Ocean,Pacific Ocean,geography
718,"According to the United States Census Bureau in 2006, China was the most populated country in the world.
",True,False,True,,,geography
719,"Which of the following countries is the worlds smallest continent, and can also be considered an island since it is surrounded by water?
",Australia,India,Africa,Madagascar,Australia,geography
720,"Russia is the worlds largest country, with a land area of 17,098,242 square kilometers.
",True,False,True,,,geography
721,"This is the worlds smallest independent state with a population in 2007 of approximately 821.
",Vatican City,Vatican City,Monaco,San Marino,Tuvalu,geography
722,"Pittsburgh is home to many universities and research facilities. One of them is described here:
"," is a private research university. It houses the first computer science school and the first drama school in the nation as well as one of the best engineering schools, and its public policy and business schools are consistently ranked among the best in the nation.",Carnegie Mellon University,University of Pittsburgh,Carnegie Mellon University,Duquesne University,geography
723,"Which central European countrys all pre-1989 neighbors do not exist any more? The country is now bordered by 7 states.
",Poland,Austria,Poland,Hungary,Romania,geography
724,"The African kingdom of Dahomey was powerful in the XVIII century. Which modern day country did it cover?
",Benin,Burma,Burkina Faso,Benin,DR Congo,geography
725,"The Holy Roman Empire of the German Nation was a loosely coupled union of mostly German speaking principalities. Which part of the union was the driver of the 19th century unification of Germany?
",Prussia,Austria,Prussia,Saxony,Bavaria,geography
726,"Where was the late medieval kingdom of Aragon situated?
","Eastern Spain, major islands on the Mediterranean Sea and southern Italy",Ireland and parts of Scotland,"Eastern Spain, major islands on the Mediterranean Sea and southern Italy",Tolkiens fiction,"Syria, Turkey and northern Iraq",geography
727,"When Yugoslavia collapsed, one of its republics became an independent state known as FYROM. To which country does the acronym refer?
",Macedonia,Albania,Bosnia and Herzegovina,Montenegro,Macedonia,geography
728,"By the end of the 16th century, a country called Commonwealth of Both Nations covered almost 1 million square kilometers of Europe. Which two countries formed it?
",Poland and Lithuania,Sweden and Denmark,Russia and Ukraine,Poland and Lithuania,Austria and Hungary,geography
729,"Phoenicia was an ancient civilization that spread maritime trade over the Mediterranean Sea. From where did the Phoenicians originate?
","Modern day Liban (Sidon, Tyre)","North Africa (Tunis, Algier)",Sicily (Syracuse),Greek islands on the Aegean Sea,"Modern day Liban (Sidon, Tyre)",geography
730,"Myanmar is a south-eastern Asian country. Under which name was it known before a military junta took over?
",Burma,Siam,Burma,Bhutan,Noth Vietnam,geography
731,"The Ottoman Empire used to rule over North Africa, the Middle East and south-eastern Europe. Which modern day country is the successor of the empire?
",Turkey,Israel,Saudi Arabia,Turkey,Egypt,geography
732,"Which independent country was not a Soviet republic?
",Albania,Georgia,Armenia,Lithuania,Albania,geography
733,"Where was the monastic state of the Teutonic Knights located?
","Northern Poland, southern Lithuania, part of Latvia and the Russian enclave of Kaliningrad",Seperated spots on modern day German territory,"Northern Poland, southern Lithuania, part of Latvia and the Russian enclave of Kaliningrad",Southern France (Provance),Malta and other islands on the Mediterranean,geography
734,"Where were the Boer Republics located?
",Across South Africa,In the Netherlands,Across South Africa,They were early Puritan settlements in the eastern North America,Minor British isles,geography
735,"Finish this Irish saying: A tune is more lasting than the song of birds. And a word is more lasting than ________.
",the wealth of the world,an old mans teeth,the wealth of the world,a maidens beauty,a bottle of whiskey,geography
736,"What is the missing word in this Irish saying: Every dog is _____ at his own house door.?
",bold,asleep,lonely,bold,fearful,geography
737,"Complete this Irish saying: The whole world cannot make a ________ out of a donkey.
",race horse,poet,race horse,nobleman,artist,geography
738,"Finish the following Irish saying: However long the day it ends with _______.
",night,some bread,a lullaby,night,a bang,geography
739,"Complete this Irish saying: Dont let your ______ cut your throat.
",tongue,jealousy,mother-in-law,tongue,stale bread,geography
740,"What is the missing word in this Irish saying: ______ is the poor mans doctor.?
",Death,An apple,Socialism,Death,Over-the-counter medication,geography
741,"Complete the following Irish saying: If you want ______, always carry the back tooth of a horse with you.
",money,to go swimming,beauty,money,to be the life of the party,geography
742,"Finish this Irish saying: If someone is sick turn his bed so that it faces _________.
",north,the TV,the wall,north,a window,geography
743,"Finish this Irish saying: The far off hills are _______.
",the greenest,covered with clouds,alive with the sound of music,the farthest away,the greenest,geography
744,"Finish this Irish saying: Often has the likely failed and the unlikely _________.
",succeeded,failed too,wrote a novel about the failure,laughed at the failure,succeeded,geography
745,"What is the capital and largest city of Jamaica?
",Kingston,Montego Bay,Kigali,Harare,Kingston,geography
746,"What is the name of the capital city of India?
",New Delhi,Jaipur,Mumbai,Calcutta,New Delhi,geography
747,"Tegucigalpa is the capital and largest city of this country.
",Honduras,Namibia,Honduras,Uzbekistan,Laos,geography
748,"What is the capital and largest city of Romania?
",Bucharest,Ankara,Sofia,Kiev,Bucharest,geography
749,"Addis Ababa is the capital of what country?
",Ethiopia,Samoa,Paraguay,Ghana,Ethiopia,geography
750,"What is the capital and largest city of Lebanon?
",Beirut,Bujumbura,Dhaka,Baghdad,Beirut,geography
751,"Kathmandu is the capital city of what country?
",Nepal,Gabon,Nepal,Togo,Rwanda,geography
752,"What is the name of the capital city of Latvia?
",Riga,Reykjavik,Port Vila,Porto-Novo,Riga,geography
753,"This city is the capital of the Kingdom of Morocco.
",Rabat,Suva,Yaounde,Tehran,Rabat,geography
754,"The capital city of what country is called Quito?
",Ecuador,Bolivia,Macedonia,Ecuador,Yemen,geography
755,"Name Zimbabwes capital which is an independent city equivalent to a province.
",Harare,Harare,Cairo,Rome,Tunis,geography
756,"Name Moroccos capital that is also the capital of the Rabat-SalÃ©-Zemmour-Zaer region.
",Rabat,Casablanca,Pretoria,Niamey,Rabat,geography
757,"Bamako is the capital of Madagascar.
",False,True,False,,,geography
758,"What is the capital and largest city of the Republic of the Congo?
",Brazzaville,Brazzaville,Lusaka,Lima,Libreville,geography
759,"Ethiopias capital is Addis Ababa.
",True,True,False,,,geography
760,"What port on the Atlantic Ocean is the capital and largest city of Guinea.
",Conakry,Baku,Dhaka,Conakry,Bujumbura,geography
761,"What is the capital and largest commercial city of Libya?
",Tripoli,Ethiopia,Windhoek,Nouakchott,Tripoli,geography
762,"This city is Kenyas capital and the most populous city in East Africa.
",Nairobi,Cape Town,Nairobi,Port Louis,Tripoli,geography
763,"Victoria is the capital of the Republic of Seychelles.
",True,False,True,,,geography
764,"Alaska used to be part of Russia.
",True,False,True,,,geography
765,"What is the currency of Russia?
",ruble,franc,ruble,dollar,peso,geography
766,"How do you say hello in Russian?
",Zdravstvuite,Spasiba,Zdravstvuite,Dobry den,Do svidanya,geography
767,"What phrase means I love you in Russian?
",Ya lyublyu tebya,Eu te amo,Ya lyublyu tebya,Te iu besc,Volim te,geography
768,"Tetris, the popular falling-blocks video game, was invented in Russia.
",True,False,True,,,geography
769,"Who is the first President of the Russian Federation?
",Boris Yeltsin,Mikhail Kasyanov,Viktor Khristenko,Boris Yeltsin,Vladimir Putin,geography
770,"The first person in space was Russian.
",True,False,True,,,geography
771,"Who commissioned  the St. Basils Cathedral?
",Ivan the Terrible,Ivan the Marvelous,Ivan the Terrible,Ivan the Ultimate,Ivan the Magnificent,geography
772,"Name the capital city of the U.S. state of Wyoming.
",Cheyenne,Boise,Des Moines,Salt Lake City,Cheyenne,geography
773,"The U.S. state of Oregon has been nicknamed after this animal, which is the official state animal.
",Beaver,Raccoon,Beaver,Marmot,Bear,geography
774,"Which U.S. state has been nicknamed The Silver State?
",Nevada,Nevada,Nebraska,North Dakota,New Mexico,geography
775,"Albuquerque is the largest city of which U.S. state?
",New Mexico,Ohio,Kansas,Oklahoma,New Mexico,geography
776,"Name the capital city of the U.S. state of Montana.
",Helena,Helena,Billings,Pierre,Sioux Falls,geography
777,"What does the name of the U.S. state of Texas literally mean in Caddo?
",Friends,Vast,Buffalo,Wilderness,Friends,geography
778,"The state of Louisiana is bordered by the Gulf of Mexico on the south and three states. Which state does NOT border Louisiana?
",Oklahoma,Oklahoma,Texas,Arkansas,Mississippi,geography
779,"When RenÃ©-Robert Cavelier, Sieur de La Salle (Yikes!) claimed the territory he named it La Louisiane, which means....
",Land of Louis or The Lousiana.,Land of Lords or Land of the Lords.,Land of France or Long Live France.,Land of Life or The Life.,Land of Louis or The Lousiana.,geography
780,"What is the closest definition of Santeria?
",A Cuban based religion popular in Lousiana.,Another name for the Catholic Church in Lousiana.,Another name for the Protestant Baptists religion in Lousiana.,A Cuban based religion popular in Lousiana.,A Jewish based religion popular in Lousiana.,geography
781,"The first recorded Euroregion, Gronau, was founded in 1958. What countries established it?
",Germany and Netherlands,Austria and Switzerland,Germany and Austria,Germany and Netherlands,Switzerland and Germany,geography
782,"The Beskidy (Beskydy) Euroregion is located in the west part of the Carpathian mountain range. Which three countries does it span?
","Czech Republic, Poland, Slovakia","Hungary, Romania, Ukraine","Czech Republic, Poland, Slovakia","Czech Republic, Austria, Slovakia","Poland, Slovakia, Ukraine",geography
783,"Which country is not a member of the Adriatic Euroregion?
",Serbia,Montenegro,Albania,Serbia,Italy,geography
784,"The ore and coal rich region of Silesia (pol.: Åšlask, ger.: Schliesien, cz.: Slezsko) was ruled by Germans, Poles, Czechs and Austrians. To which country does it mostly belong today?
",Poland,Slovakia,Germany,Poland,Czech Republic,geography
785,"Where would you find the Tornio River Valley Euroregion?
",Sweden / Finland,Sweden / Finland,Italy / Slovenia,Italy / France,Austria / Italy,geography
786,"The Cross Channel Euroregion includes France, the UK and what other country?
",Belgium,Belgium,Ireland,Spain,Netherlands,geography
787,"The region of Pomerania (ger.: Pomern, pol.: Pomorze) is located in north Germany and Poland. Which river divides the region into two parts?
",Oder (Odra),Vistula,Danube,Elbe,Oder (Odra),geography
788,"The TriRhena Euroregion is spans these three countries crossed by the Rhine River.
","France, Germany and Switzerland","France, Germany and Switzerland","Belgium, Germany and Luxembourg","Austria, Germany and Switzerland","France, Germany and Holland",geography
789,"The Pyrenees-Mediterranean region is located along the border of which two countries?
",France - Spain,France - Italy,Norway - Sweden,France - Spain,Spain - Portugal,geography
790,"Where would you find the Ore Mountains Euroregion?
",Czech Republic and Germany,Greece and Bulgaria,Spain and France,Czech Republic and Germany,Norway and Sweden,geography
791,"What is the state animal of Colorado and the symbol of Rocky Mountain National Park?
",Big Horned Sheep,Mustang,Big Horned Sheep,White Tailed Deer,Buffalo,geography
792,"Was Isabella Bird the first woman to climb Longs Peak, the highest point in Rocky Mountain National Park?
",No,No,Yes,,,geography
793,"Mesa Verde National Park in southern Colorado is best known for which of the following?
",The best-preserved cliff dwellings in the U.S.,"Rather large, fossilized dinosaur tracks",Massive trees known as Sequoias,The best-preserved cliff dwellings in the U.S.,A very rare flower that only grows in the mountains,geography
794,"One the worlds largest silver nuggets was found in Colorado.
",True,True,False,,,geography
795,"The Colorado River, the major river of the American southwest, flows through which national landmark?
",All of these,The Hoover Dam,The Grand Canyon,Arches National Park,All of these,geography
