,Questions,Correct,A,B,C,D,Category
834,"Who of the following was not an impressionist?
",Jean-LÃ©on GÃ©rÃ´me,Gustave Caillebotte,Berthe Morisot,Mary Cassatt,Jean-LÃ©on GÃ©rÃ´me,humanities
835,"Who was the British artist, born in 1839 in France, who painted Street in Moret and Sand Heaps?
",Alfred Sisley,John Sargent,Alfred Sisley,Walter Sickert,Philip  Steer,humanities
836,"This French impressionist, whose most famous works were The Pink Dress and Family Reunion, died in the Franco-Prussian War when he was only 29 years old.
",FrÃ©dÃ©ric Bazille,Camille Pissarro,Ã‰douard Manet,FrÃ©dÃ©ric Bazille,Gustave Caillebotte,humanities
837,"Which of these works was not painted by Claude Monet?
",The Luncheon on the Grass,The Luncheon on the Grass,Woman with a Parasol,The Woman in the Green Dress,Bridge over a Pond of Water Lilies,humanities
838,"In the late 19th century a group of impressionists, writers and art lovers centered around Edouard Manet, gathered at this site in Paris for discussions.
",CafÃ© Guerbois,CafÃ© Manet,CafÃ© Royal,CafÃ© Guerbois,CafÃ© Soleil levant,humanities
839,"This artist, who hated the term impressionist and insisted on being called realist, was famous for painting ballet dancers.
",Edgar Degas,Edgar Degas,Armand Guillaumin,Paul CÃ©zanne,FrÃ©dÃ©ric Bazille,humanities
840,"What American impressionist painted the works Tea, The Boating Party, and Summertime?
",Mary Cassatt,Frank W. Benson,Alfred Sisley,Mary Cassatt,Childe Hassam,humanities
841,"Which of the following is not one of the siblings of Helen of Troy?
",Asclepius,Asclepius,Clytemnestra,Castor,Polydeuces,humanities
842,"The name of Helen of Troy is derived from the Greek word meaning sun.
",False,True,False,,,humanities
843,"Which one of these is the name of Helen of Troys daughter from Menelaus?
",Hermione,Hermione,Iphigenia,Clytemnestra,Aethra,humanities
844,"Helen of Troy was called The Face Who Launched a Thousand Ships as she inherited a huge fleet from her father.
",False,False,True,,,humanities
845,"Was Helen of Troy immortal?
",Yes,Yes,No,,,humanities
846,"Some legends state that Helen of Troyâ€™s mother was Nemesis and she threw the egg from which Helen was born. Who did Helen share this egg with?
",Dioscuri,Dioscuri,Pleisthenes,Asclepius,Castor,humanities
847,"What does the most popular hardcore dancing move, two step look like?
",Placing one foot in front of the other and jumping on it with your arm thrust opposite to the leg that is moving in the front,Placing one foot in front of the other and jumping on it with your arm thrust opposite to the leg that is moving in the front,"Jumping around and swinging your fists, stomping back and froth across the pit",Spinning karate kicks in a sequence,"Punching the floor and stomping in place, throwing your fists back, trying to strike anyone behind you",humanities
848,"The most common hardcore move two step was taken from which dance?
",Skanking,Pogo,Mosh,Headbanging,Skanking,humanities
849,"Ska music was born in Jamaica in the 1960s. Which of these names appears very often in ska lyrics?
",Rudy,Rudy,Bobby,Johny,Jimmy,humanities
850,"Which New York hardcore punk band did parody hardcore dancing in their music video Step Down?
",Sick of it All,Sick of it All,Minor Threat,Agnostic Front,Comeback Kid,humanities
851,"What is the name of the act of getting on the stage during a concert and then jumping in the crowd below?
",Stage diving,Crowd diving,Moshing,Crowd surfing,Stage diving,humanities
852,"At the 2000 Roskilde festival nine people died while crowd-surfing at the concert of which band?
",Pearl Jam,Fantomas,Green Day,Sick of it all,Pearl Jam,humanities
853,"Which hardcore dance involves people jumping around and pushing each other in a circle in front of the stage?
",Moshing,Pogo,None of these,Headbanging,Moshing,humanities
854,"What is the name of the act of pretending to play the guitar with your hands and moving your body as if you are following the rhythm of the music?
",Air guitar,Air strings,Pseudo guitar,Air guitar,No strings attached,humanities
855,"Which Swedish metal band pretends to play instruments in the video New Millennium Cyanide Christ, while actually only moving their hands and bodies?
",Meshuggah,In Flames,Therion,Opeth,Meshuggah,humanities
856,"Which is the American metal band, whose frontman Mark Hunter is often called Metal Moses, because on concerts, he often parted the crowd in two parts, just like Moses did at the Red Sea?
",Chimaira,Murphys law,Chimaira,Cradle of filth,Hatebreed,humanities
857,"In which of these countries does the Judaeo-Spanish, or Ladino language, have an official status?
",None of these,Israel,Spain,Brazil,None of these,humanities
858,"What major language is one of the official languages in New Zealand?
",English,German,English,Spanish,French,humanities
859,"In what country is the Slavey language spoken?
",Canada,Canada,Slovenia,Australia,South Africa,humanities
860,"On what continent is the Urdu language spoken?
",Asia,Australia,Asia,North America,Africa,humanities
861,"What other name is used for the language known as Siksika and Pikanii, which is spoken in North America?
",Blackfoot,Bigfoot,Blackmouth,Bigmouth,Blackfoot,humanities
862,"What is the official language in Egypt?
",Arabic,Arabic,English,French,Egyptian,humanities
863,"What type of language is the Manx language, spoken on the Isle of Man?
",Celtic,Slavic,Celtic,Semitic,Germanic,humanities
864,"What is the official language in Ukraine?
",Ukrainian,All of these,Ukrainian,Russian,Moldovan,humanities
865,"Which of these languages is extinct?
",All of these,Gafat language,Egyptian language,All of these,Miami-Illinois language,humanities
866,"What major official language do Senegal, Monaco, Luxembourg, Haiti and Madagascar share?
",French,French,Spanish,English,All of these,humanities
867,"Which of these mythological figures is not one of the Titanides?
",Selene,Themis,Thetis,Rhea,Selene,humanities
868,"What does Meter Megale mean?
",Great Mother,Mother of Earth,Gods Mother,Mother of Universe,Great Mother,humanities
869,"What is Salvador DalÃ­s birth name?
",Salvador Domingo Felipe Jacinto DalÃ­ i DomÃ¨nech,Francisco Salvador Jacinto DalÃ­ i DomÃ¨nech,Salvador Domingo Felipe Jacinto DalÃ­ i DomÃ¨nech,Silvester Pedro Anjel Domingo DalÃ­,DomÃ¨nech Salvador Maria Felipe DalÃ­,humanities
870,"When was Salvador DalÃ­ born?
","May 11, 1904","May 11, 1904","April 17, 1907","August 13, 1900","March 14, 19010",humanities
871,"Salvador Dalis works can be attributed to this art movement.
",All of these,All of these,Cubism,Dada,Surrealism,humanities
872,"What title did King Juan Carlos of Spain bestow on Salvador Dali in 1982?
",Marquis of Pubol,Viscount of Pubol,Duke of Pubol,Marquis of Pubol,Baron of Pubol,humanities
873,"What was the cause of Salvador Dalis death?
",He died from a heart failure.,He died from food poisoning.,He committed suicide.,He died from a heart failure.,He died in a fire that broke out in his house.,humanities
874,"What was the name of Salvador Dalis wife, who was also his muse?
",Gala,Frida,Josephine,Gala,Hanna,humanities
875,"Dali collaborated with British poet Edward James on these two notable surrealist art works.
",Lobster Telephone and the Mae West Lips Sofa,Ballerina in a Deaths Head and The Temptation of St. Anthony,The Persistence of Memory and Swans Reflecting Elephants,Dematerialization Near the Nose of Nero and Galatea of The Spheres,Lobster Telephone and the Mae West Lips Sofa,humanities
876,"Which one of these art works does not belong to Salvador Dali?
",Lady With Ermine,Meditative Rose,Crucifixion (Corpus Hypercubus),Honey is Sweeter Than Blood,Lady With Ermine,humanities
877,"Dali engages these recurring images in a large number of his paintings.
",All of these,All of these,Eggs,Watches,Elephants,humanities
878,"What is the meaning of the name Salvador?
",Savior,Silver,Messenger,Savior,Blessing,humanities
879,"The European dragon, which is part of the English mythology, is depicted on the national flag of this country.
",Wales,England,Scotland,Wales,Ireland,humanities
880,"The yale, a creature from English and European mythology, resembles this animal.
",Goat,Cat,Wolf,Goat,Rooster,humanities
881,"What kind of creature is the Melusine according to European folklore?
",A woman with serpent body,A two-headed witch,A fairy,A dog with an eagle head,A woman with serpent body,humanities
882,"What animal does the English mythological creature Enfield resemble?
",All of these,Lion,All of these,Wolf,Fox,humanities
883,"Name the creature from British and European mythology which is shaped like a serpent or dragon and swallows its own tail.
",Ouroboros,Basilisk,Crocotta,Salamander,Ouroboros,humanities
884,"What head does the mythological creature called manticore have?
",Human head,Lions head,Human head,Dragons head,Horse head,humanities
885,"Where does the British mythological creature Afanc live according to legend?
",In lakes,Under beds,In graveyards,In the woods,In lakes,humanities
886,"What creature from Arthurian legends has a serpents head, a leopards body and deers feet?
",Questing Beast,Questing Beast,Cockatrice,Azure Dragon,Mandragora,humanities
887,"What kind of creature is the Fuath according to Celtic mythology?
",Water spirit,Water spirit,Werewolf,Witch,Flower fairy,humanities
888,"What is the Banshee spirit from Irish mythology associated with?
",Death,Death,Wealth,Food,Birth,humanities
889,"Giovanni Battista Tiepolo, an Italian painter who became most famous in Europe between 1750 and 1770, is a representative of which art movement?
",Rococo,Renaissance,Rococo,Humanism,Romanticism,humanities
890,"What was the nickname of Jacopo Robusti (1518-1594), an Italian artist, often compared to Furioso?
",Tintoretto,Scheggia,Michelangelo,Uccello,Tintoretto,humanities
891,"Sfumato, which means blended in Italian is an art technique, created by which Italian Renaissance artist?
",Leonardo da Vinci,Michelangelo,Tintoretto,Leonardo da Vinci,Titian,humanities
892,"Which of the following works was painted by Titian, one of the most famous painters of the Renaissance and the Vetian school?
",Penitent Mery Magdalen,Penitent Mery Magdalen,Madona and Child Blessing,Marta and Mary Magdalen,Madona della Scala,humanities
893,"The paintings of Italian painter Giorgio Morandi, who was born in Bologna in 1890, were featured in which film by Federico Fellini?
",La Dolce Vita,Lici del Varieta,Satyricon,La Dolce Vita,Roma,humanities
894,"The movement Pittura Metafisica (metaphysical painting), that presents an alternative and illogical reality, was founded in 1917 by which Italian artists?
",Carlo Carra and Giorgio de Chirico,Carlo Carra and Giorgio de Chirico,Amedio Clemente Modigliani and Giorgio de Chirico,Emilio Vedova and Amedio Clemente Modigliani,Emilio Vedova and Carlo Carra,humanities
895,"Leonardo da Vinci was hired to paint one of the walls of the Palazzo Vecchio in Florence. Who was his rival that painted the opposite wall?
",Michelangello,Michelangello,Raphael,Donatello,Bernini,humanities
896,"Which Italian artist made the sculpture Neptune and Triton, displayed in the Victoria and Albert Museum in London?
",Gian lorenzo Bernini,Gian lorenzo Bernini,Francesco di Giorgio Martini,Donatello,Ernesto Biondi,humanities
897,"It is widely believed that the foxtrot dance got its name from which of the following?
",An actor,A flower,A type of food,An actor,An animal,humanities
898,"In what country did the Bachata dance originate?
",Dominican Republic,Jamaica,Dominican Republic,Cuba,Brazil,humanities
899,"What dance does Al Pacinos character perform in the 1992 movie Scent of a Woman, when he gets enchanted by the perfume of his dancing partner?
",Tango,Bolero,Flamenco,Tango,Rumba,humanities
900,"What is the popular dance style Charleston named after?
",A city,Its inventor,A piece of clothing,A city,A composer,humanities
901,"Toprock, footwork, power moves, freezes, and suicides are techniques used in this popular dance style.
",B-boying,B-boying,Locking,Krumping,Popping,humanities
902,"In which country did the Mambo music and dance originate in the 1930s?
",Cuba,Paraguay,Argentina,Cuba,Nicaragua,humanities
903,"In the 1950s, what name was used for the dance that is nowadays referred to as boogie-woogie?
",Rocknroll,Rocknroll,Quickstep,Swing,Jive,humanities
904,"Which is the oldest of the so-called ballroom dances?
",Viennese Waltz,Viennese Waltz,Quickstep,Peabody,Foxtrot,humanities
905,"In what country did the Cha-cha-cha dance originate?
",Cuba,Colombia,Brazil,Cuba,Dominican Republic,humanities
906,"Cali, Rueda and Casino are different styles of this popular Latin dance.
",Salsa,Rumba,Salsa,Bachata,Samba,humanities
907,"What is the Tagalog word for tree?
",puno,kahoy,bahay,bola,puno,humanities
908,"What does the Tagalog word pera mean in English?
",money,candle,book,pen,money,humanities
909,"Is it true that the Tagalog word salamin means pencil in English?
",False,False,True,,,humanities
910,"What does the Tagalog phrase Saan ka nakatira? mean in English?
",Where do you live?,What is your name?,How do you know?,Where do you live?,When is your birthday?,humanities
911,"Beautiful is to the Tagalog word maganda, as fat is to this word.
",mataba,pangit,makulay,mainit,mataba,humanities
912,"The Tagalog word tama means correct in English.
",True,False,True,,,humanities
913,"One is to the Tagalog word isa as two is to this Tagalog word.
",dalawa,lima,tatlo,apat,dalawa,humanities
914,"Does the Tagalog word anim mean six in English?
",Yes,No,Yes,,,humanities
915,"What Tagalog word means Monday?
",Lunes,Miyerkules,Martes,Huwebes,Lunes,humanities
916,"What does the Tagalog word Sabado mean in English?
",Saturday,Friday,Saturday,Monday,Thursday,humanities
917,"What is the lyrical dance a mix of?
",Jazz and Ballet,Tap and Jazz,Ballet and tap,Jazz and Ballet,Jazz tap and ballet,humanities
918,"In dancing, the word foutette means to straighten.
",False,True,False,,,humanities
919,"A grand jete is a type of leap in dancing.
",Yes,Yes,No,,,humanities
920,"In dancing, what is Triple Threat?
","Singing, Dancing and Acting","Hip Hop, Jazz and Point","Tap, Jazz and Ballet","Singing, Dancing and Acting","Point, Ballet and Jazz",humanities
921,"Of what origin was painter and etcher Rembrandt?
",Dutch,Italian,French,Spanish,Dutch,humanities
922,"Rembrandt initially achieved success as a painter of what type of paintings?
",Portraits,Portraits,Murals,Marine paintings,Icons,humanities
923,"What personal tragedy did Rembrandt experience after he got married?
",All of these,His first child died.,His second child died.,His third child died.,All of these,humanities
924,"Why did Rembrandt nearly go bankrupt at a certain point of his life?
",He collected tons of art pieces.,He was a gambler.,He collected tons of art pieces.,He spent his money on alcohol.,All of these,humanities
925,"What common name was given to Rembrandts famous painting, The Company of Frans Banning Cocq and Willem van Ruytenburch?
",The Night Watch,The Guard of the Tower,The Night Watch,The Evening Council,The Men in Armor,humanities
926,"Rembrandt is believed to have suffered from this medical condition.
",Stereoblindness,Shortsightedness,Night blindness,Stereoblindness,All of these,humanities
927,"Who is the man whose corpse is depicted in Rembrandts famous painting The Anatomy Lesson of Dr. Nicolaes Tulp?
",A criminal,Rembrandts father,Rembrandt himself,Rembrandts son,A criminal,humanities
928,"During what century did painter Rembrandt live and work?
",Seventeenth century,Eighteenth century,Seventeenth century,Sixteenth century,Fifteenth century,humanities
929,"What did Rembrandt seek to achieve in his art according to a statement he made in a letter?
",the greatest and most natural movement,the greatest and most natural movement,to provoke the beholder to create a story in his own head,to keep the eye of the beholder on the painting,"the best possible combination of light, shadow and color",humanities
930,"Which of these is true about Rembrandts famous painting The Storm on the Sea of Galilee that was stolen in 1990?
",It is the only marine painting by Rembrandt.,It is the only marine painting by Rembrandt.,It is Rembrandts only work to feature the image of Jesus.,All of these,It is the only painting by Rembrandt to feature religious images.,humanities
931,"What is the missing word from the Chinese proverb: If the wind comes from an empty ..., its not without a reason?
",Cave,Cave,Room,Chest,House,humanities
932,"What is the meaning of the Chinese proverb, Riding a mule while looking for a horse?
",Keeping what you have but looking for better options,Keeping what you have but looking for better options,Looking for something that you already have,"Looking for trouble, not being satisfied with what you have",Taking what you have for granted,humanities
933,"What word is missing from the Chinese proverb: A ... can start a fire that burns the entire prairie?
",Spark,Child,Match,Spark,Straw,humanities
934,"Complete the Chinese proverb, â€˜â€¦ must be chiseled before it can be considered a gemâ€™.
",Jade,Amethyst,Diamond,Jade,Sapphire,humanities
935,"What is the missing verb from the Chinese proverb originating from the works of Chinese philosopher Confucius, I hear and I ...; I see and I remember; I do and I understand?
",Forget,Forget,Ignore,Learn,Discover,humanities
936,"The name of what animal is missing in the Chinese proverb, A ... father has no canine sons?
",Tiger,Panda,Tiger,Dragon,Crocodile,humanities
937,"Complete the Chinese proverb, If you have money you can make ... push your grind stone.
",the devil,the devil,everyone,the Emperor,your neighbor,humanities
938,"What is the missing word from the following Chinese proverb: To hit a ... with a meat-bun?
",Dog,Cook,Dog,Wall,Rock,humanities
939,"What is the meaning of the Chinese proverb, A drop of water shall be returned with a burst of spring?
",You should respond to small favor with a larger one.,Small things can lead to big results.,You should respond to small favor with a larger one.,A small investment will pay back generously.,Seemingly insignificant things can grow with time.,humanities
940,"What is the missing phrase from the Chinese proverb, A single day of sub-zero temperature is not enough to create ...?
",Three feet of ice,Ice cream,Three feet of ice,An ice palace,Winter,humanities
941,"What does the word wan mean?
",pale,enigmatic,happy or cheerful,memorable,pale,humanities
942,"What does the word kirk refer to?
",A church,Type of redwood tree,A species of conifer tree,Type of horsedrawn carriage used in Victorian times,A church,humanities
943,"The following sentence is written in what language:
","trÃ¤dgÃ¥rden lÃ¥g ett gammalt hus, och i huset bodde Pippi LÃ¥ngstrump?",Swedish,Dutch,Danish,Swedish,humanities
944,"In what language is this line: 
",riachi me acompaÃ±a cuando canto mi canciÃ³n?,Spanish,Swedish,French,Spanish,humanities
945,"Name the language in which this sentence is written: 
", otunwahe kin el tuktel owotetipi wanzi han hwo.,Lakota,Lakota,Japanese,Icelandic,humanities
946,"In what language is the sentence:
",levala on inspiroinut monia kirjailijoita myÃ¶s Suomen ulkopuolella?,Finnish,Hungarian,Finnish,German,humanities
947,"Is this the correct usage of the word inferring? 
"," saying that I look good today, are you inferring that I did not look good yesterday?",No,No,Yes,,humanities
948,"Is this the correct usage of the word continually? 
",ofessor Smith gave a speech yesterday. He spoke continually for 3 hours.,No,No,Yes,,humanities
949,"In the following sentence, which word is incorrect?  
",e schools unprincipled principal understands the principle of the argument.,None of the words is incorrect; the sentence is correct as is.,principal,principle,unprincipled,humanities
950,"The main function of this nucleic acid, consisting of a string of covalently-bound nucleotides, is to copy genetic information.
",RNA,REO,RSI,RAROC,RNA,humanities
951,"In Egyptian mythology this is known as the soul/personality of a person. It is sometimes depicted as a human-headed bird.
",Ba,Akh,Sheut,Thoth,Ba,humanities
952,"Camulatz is the bird that ate the heads of the first men according to this mythology.
",Maya,Chippewa,Maya,Persian,Chinese,humanities
953,"Chamrosh is said to rule and protect all avifauna on Earth.
",True,True,False,,,humanities
954,"The griffin is a legendary creature with the body of this animal and the head and wings of an eagle.
",Lion,Lion,Snake,Dog,Horse,humanities
955,"In Greek mythology, the Harpies were beautiful winged women best known for doing this to Phineas (a King of Thrace, son of Agenor who had the gift of prophecy).
",Constantly stealing food from him,Constantly lying to him,Constantly seducing him,Constantly stealing gold from him,Constantly stealing food from him,humanities
956,"Hugin and Munin are Odins two companion birds in Norse mythology. They are these bird species.
",Ravens,Hawks,Doves,Eagles,Ravens,humanities
957,"Phoenixes can be only male.
",True,True,False,,,humanities
958,"The second time Noah sent the dove from the Ark, the bird returned with this.
",Olive leaf,Grass leaf,Palm leaf,Olive leaf,Apple leaf,humanities
959,"Garuda is one of the main forms of God in Hinduism. He is described as having all of these except one.
",Ravens beak,Ravens beak,Red wings,Golden body,White face,humanities
960,"Raven, the spirit of the raven bird, is a god in the mythology of various native peoples of northwest North America. It is considered to be the god of loyalty and truth.
",False,True,False,,,humanities
961,"Fill in the blank with the correct word:
"," would be as well to let it go, ___ too far out.",ote from A New Hope,its,its,...,humanities
962,"To which language group does English belong?
",Germanic,Italic,Germanic,Slavic,Celtic,humanities
963,"Which Central European language is not a Slavic one?
",Hungarian,Czech,Polish,Hungarian,Slovak,humanities
964,"What language is spoken in Austria?
",German,German,Hungarian,English,Austrian,humanities
965,"Many neighbouring European countries have similar languages. The languages of which two countries belong to different language groups?
",Sweden and Finland,Sweden and Finland,Portugal and Spain,Poland and Czech Republic,France and Belgium,humanities
966,"Which country is called Tyskland, Niemcy or Allemagne by some of its neighbors?
",Germany,Ukraine,Turkey,Germany,Norway,humanities
967,"The people of which Balkan country do not use a Cyrillic alphabet?
",Greece,Greece,Poland,Macedonia,Bulgaria,humanities
968,"Which of these languages is closest to Italian?
",Romanian,Romanian,Serbian,Greek,Bulgarian,humanities
969,"Esperanto is the official language of which country?
",It is not a language of any country.,It is not a language of any country.,Vatican,Estonia,Poland,humanities
970,"In which part of Germany will you most likely find people speaking Wendish (also called Sorbian)?
",Saxony and Brandenburg,Bavaria,Lower Saxony,Holstein,Saxony and Brandenburg,humanities
971,"What language is spoken by the most people in the European Union as their native language?
",German,English,French,German,Spanish,humanities
972,"In which country is Flemish mostly spoken?
",Belgium,France,Luxembourg,Holland,Belgium,humanities
973,"The modern unicorn is depicted as a horse with a single horn. Traditionally unicorns were depicted much differently. Which of these features was not depicted as part of the traditional unicorn?
",Snake-like tongue,Snake-like tongue,Bill goats beard,Lions tail,Cloven hooves,humanities
974,"The spiralled horn of a unicorn was called an Alicorn.
",True,False,True,,,humanities
975,"Was the unicorn part of Greek mythology?
",No,No,Yes,,,humanities
976,"In ancient times items made of unicorn parts were very valuable for what reason?
",All of these,Unicorn horns and parts were thought to be medicinal.,They were very rare,All of these,The parts were thought to be aphrodisiacs.,humanities
977,"Which of these countries has a unicorn on its coat of arms?
",Scotland,Italy,Spain,France,Scotland,humanities
978,"Portugal has a unicorn on its coat of arms and royal seals.
",False,True,False,,,humanities
979,"The coat of arms of the Society of Apothecaries in London is adorned with how many unicorns?
",2,2,0,4,1,humanities
980,"A supposed unicorn skeleton was found in a cave in Europe. The skeleton was found to be a hoax but the cave retained the name Unicorn Cave. In which European country is Unicorn Cave located?
",Germany,Switzerland,Britain,France,Germany,humanities
981,"Many explorers such as Marco Polo may have confused rhinoceros for unicorns.
",True,False,True,,,humanities
982,"It was the third of June when Mama announced that Billy Joe McCallister jumped off the
",llahatchie Bridge. Mama also related that Brother Taylor had seen a girl that looked a lot like you upon Choctaw Ridge and she and Billie Joe was throwing something off the Tallahatchie Bridge. What did the narrator and Billie Joe throw off the Tallahatchie Bridge?,The song never reveals what was thrown off the bridge,Something small and wrapped in a blanket,Something that flashed in the sun,The song never reveals what was thrown off the bridge,humanities
983,"In 1814 we took a little trip
",ong with Colonel Jackson,wn the mighty Mississip. This is the beginning line of what ballad by John Horton?,The Ballad of New Orleans,The Ballad of New Orleans,The Ballad of Mighty Mississip,humanities
984,"Which term is preferred by more and more female performers of stage and screen?
",Actor,Actor,Actress,Diva,Thespian,humanities
985,"Which of the following refers to the female side of the family?
",Distaff,Maternal patronage,Distaff,Mastif,Maternity,humanities
986,"Grammatically correct gender terminology  includes which of the following?
",All of these,All of these,Neuter,Masculine,Feminine,humanities
987,"What is the term for a male sibling?
",Brother,Brother,Cousine,Cousin,Uncle,humanities
988,"What is a female octopus called?
",Hen,Cow,Hen,Sow,Dam,humanities
989,"What is the more common term for a male or female ecdysiast?
",Stripper,Novice,Dilettante,Orator,Stripper,humanities
990,"The word bachelorette has replaced which offensive term for an unmarried older woman?
",Spinster,All of these,Ugly Sister,Spinster,Loser,humanities
991,"Which of the following terms refers to a female homeless child who roams the streets?
",Gamine,Gamin,Orphan,Gamine,Prostitute,humanities
992,"Which term applies to a woman who has earned a PhD?
",Doctor,Academic,Doctor,Philosopher,Doctorate,humanities
993,"What is the term for a female baby kangaroo?
",Joey,Fawn,Joey,Filly,Josephine,humanities
994,"Where will you most likely hear howdy as a greeting?
",Texas,Scotland,Singapore,Texas,Zimbabwe,humanities
995,"Shalom aleichem and Salam alaikum are common greetings in Hebrew and Arabic, respectively. What is the meaning of both?
",Peace to you,How are you,Good day,Peace to you,May God be with you,humanities
996,"In which language is Hola used as a greeting?
",Spanish,Greek,Japanese,Spanish,Polish,humanities
997,"A Japanese greeting meaning good morning is pronounced like the name of this US state.
",Ohio,Utah,Idaho,Mississippi,Ohio,humanities
998,"How could you welcome your Italian friend in his/her native language?
",Salve,Hasta luege,Ahoj,Salve,CzeÅ›Ä‡,humanities
999,"At what time of the day is it proper to use the Dutch greeting goedenavond?
",Evening,Morning,Evening,Noon,All day,humanities
1000,"What is the literal meaning of the French greeting bon jour?
",Good day,Hello,How are you,Peace to you,Good day,humanities
1001,"The Chinese term Kowtow refers to an act of deep respect. How is it performed?
",By kneeling and bowing so low as to touch the head to the ground,By kissing hand,By kissing cheek,By bowing,By kneeling and bowing so low as to touch the head to the ground,humanities
1002,"You probably wouldnt be able to pronounce the word czeÅ›Ä‡, but try to guess in which language is it used as a greeting.
",Polish,Malay,Polish,Hindu,Danish,humanities
1003,"In south Germany and Austria, GrÃ¼ÃŸ Gott is commonly used as a greeting. What does it literally mean?
",God bless you,Good day,How are you,Peace to you,God bless you,humanities
1004,"Sik Jo Fan Mei means have you eaten yet?. In which country it is used as a greeting?
",China,China,Vietnam,Japan,Korea,humanities
1005,"In which culture is pressing noses used as a greeting?
",Maori (New Zealand),Eskimo (Finland),"Inca (Peru,Bolivia)",Zulu (South Africa),Maori (New Zealand),humanities
1006,"Two words that can be interchanged in a context are said to be antonyms.
",False,True,False,,,humanities
1007,"What word means the same as meager?
",paltry,same,alot,multiply,paltry,humanities
1008,"Constant means changing.
",False,True,False,,,humanities
1009,"Sick is the same as ill.
",True,False,True,,,humanities
1010,"Which of these words is a synonym of research?
",investigate,populate,regulate,try,investigate,humanities
1011,"There many words that have the same meaning as low. Which of the following is NOT one of them?
",escape,escape,soft,miserable,humble,humanities
1012,"The words barbed, biting, nipping or pungent could mean what?
",sarcastic,morbid,moronic,casual,sarcastic,humanities
1013,"Whats the name of the singer who was involved with bicyclist Lance Armstrong?
",Sheryl Crow,Sheryl Crow,Sheila Winestein,Sheryl Underwood,Laura Sheen,humanities
1014,"This prolific author was also a screenwriter, penning the likes of I Dream of Jeannie, Hart to Hart and The Patty Duke Show.
",Sidney Sheldon,Paul Sheldon,Shelby Davis,Arthur Sherwood,Sidney Sheldon,humanities
1015,"The Jeffersons TV series, starring Sherman Hemsley, was a spinoff of All In The Family.
",True,True,False,,,humanities
1016,"The group S.H.E plays country music in China.
",False,True,False,,,humanities
1017,"In chemistry SHE stands for Standard Helium Electrode.
",False,True,False,,,humanities
1018,"This actress is best known for playing Olive Oyl in 1979 and Wendy Torrance in 1980.
",Shelley Duvall,Laura Sheath,Norma Sheer,Shelly Winters,Shelley Duvall,humanities
1019,"This influential English political philosopher believed in rule by absolute sovereign and the need for a social contract. His masterwork is Leviathan.
",Thomas Hobbes,Thomas Hobbes,John Locke,Rene Descarte,Bertrand Russell,humanities
1020,"This early scholastic philosopher was a Franciscan friar best known for his principle that opposes multiplying unnecessary entities in making propositions or drawing conclusions.
",William of Ockham,William of Ockham,St. Jerome,John Scottus,St. Augustine,humanities
1021,"This Twentieth Century English pacifist was the founder of analytic philosophy. His History of Western Philosophy helped him garner the Nobel Prize for Literature in 1950.
",Bertrand Russell,Georg Hegel,G.E. Moore,Alfred Whitehead,Bertrand Russell,humanities
1022,"This influential philosopher espoused the master-slave theory of morality and believed in the will to power as the motivating force behind animal and human behavior.
",Nietzsche,Wittgenstein,Hegel,Nietzsche,Dewey,humanities
1023,"This Seventeenth Century Dutch rationalist was a pantheist excommunicated from the Jewish Church for heresy. He believed mind and body were of one substance. His greatest contributions were in the field of moral philosophy.
",Spinoza,Spinoza,Dewey,Wittgenstein,Leibniz,humanities
1024,"His Categorical Imperative was a concept for moral actions based on the premise that one should act only according to the maxim that such action could or would be made into a universal law.
",Kant,Kant,Locke,Rousseau,Moore,humanities
1025,"He was a Seventeenth Century rationalist who invented calculus, put forth the doctrine of  Windowless Monads, and believed that this universe was the best possible one God could have created.
",Leibniz,Spinoza,Hume,Rousseau,Leibniz,humanities
1026,"The sailors in South Pacific love a woman whose skin is as tender as DiMaggios glove and is always chewin betel nuts. If anyone has objections,  Well aint that too damn bad.
",o is the woman that can speak English as well as any damn marine?,Bloody Mary,Bloody Mary,Sweet Pea,Roxie,humanities
1027,"The Andrew Lloyd Webber song I Dont Know How to Love Him is about what character?
",Jesus Christ,The Phantom of the Opera,Jesus Christ,Judas Iscariot,Juan PerÃ³n,humanities
1028,"Which of these songs from the movie Cabaret originated in the Broadway version?
",Tomorrow Belongs to Me,Mein Herr,Maybe this Time,"Money, Money",Tomorrow Belongs to Me,humanities
1029,"These songs all appear in the original Broadway version of The Sound of Music, but not in the movie version. Which one of them is NOT sung by Max and the Baroness?
",An Ordinary Couple,An Ordinary Couple,None of these,No Way to Stop It,How Can Love Survive?,humanities
1030,"This ensemble song was removed just prior to the opening of the musical Show Boat, but its music remained as part of the overture.
",Misrys Comin Around,Cotton Blossom,Til Good Luck Comes My Way,Life Upon the Wicked Stage,Misrys Comin Around,humanities
1031,"The song Send in the Clowns from the musical A Little Night Music was specifically written for which actress?
",Glynis Johns,Glynis Johns,Shirley Jones,Elizabeth Taylor,Barbra Streisand,humanities
1032,"Which of these movie musical numbers was NOT nominated for a Best Original Song Oscar?
","Come What May, Moulin Rouge","Blame Canada, South Park: Bigger, Longer and Uncut","Under the Sea, The Little Mermaid","Somewhere Over the Rainbow, The Wizard of Oz","Come What May, Moulin Rouge",humanities
